unified_id,channel,transaction_id,date,item_id,item_name,category,quantity,line_amount,line_tax,member_name
3ba55e899e6372051a62f763ec78c80c,retail,retail-13001,2025-11-15,41,Premium Cabretta Leather Golf Glove,Retail,1,131.0,19.65,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13001,2025-11-15,404,Nike Dri-FIT Victory Golf Polo,Retail,1,401.55,60.23,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13002,2026-02-08,55,Under Armour Drive Golf Trousers,Retail,2,982.18,147.33,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13002,2026-02-08,404,Nike Dri-FIT Victory Golf Polo,Retail,1,428.67,64.3,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13002,2026-02-08,41,Premium Cabretta Leather Golf Glove,Retail,2,275.56,41.33,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13003,2025-07-10,7,PROV1 - Golf Balls Titleist Pro V1 Dozen,Retail,2,743.56,111.53,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13003,2025-07-10,15,Callaway Chrome Soft Golf Balls Dozen,Retail,1,290.13,43.52,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13004,2026-05-21,15,Callaway Chrome Soft Golf Balls Dozen,Retail,1,303.59,45.54,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13004,2026-05-21,32,Titleist TSR3 Fairway Wood 3W,Retail,1,2431.56,364.73,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13004,2026-05-21,19,Garmin Approach S70 GPS Watch,Retail,1,3330.96,499.64,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13005,2025-07-28,7,PROV1 - Golf Balls Titleist Pro V1 Dozen,Retail,1,355.94,53.39,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13005,2025-07-28,41,Premium Cabretta Leather Golf Glove,Retail,2,269.02,40.35,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13006,2026-04-27,55,Under Armour Drive Golf Trousers,Retail,1,520.73,78.11,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13006,2026-04-27,15,Callaway Chrome Soft Golf Balls Dozen,Retail,1,335.62,50.34,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13007,2025-10-30,404,Nike Dri-FIT Victory Golf Polo,Retail,1,455.24,68.29,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13007,2025-10-30,88,Adidas Tour360 BOA Golf Shoes,Retail,2,1777.84,266.68,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13008,2026-02-05,7,PROV1 - Golf Balls Titleist Pro V1 Dozen,Retail,1,388.87,58.33,Ahmad Al-Rashid
3ba55e899e6372051a62f763ec78c80c,retail,retail-13008,2026-02-05,41,Premium Cabretta Leather Golf Glove,Retail,1,132.84,19.93,Ahmad Al-Rashid
cfe86839989dd5542ab4cd1b216fc06d,retail,retail-13009,2025-11-17,32,Titleist TSR3 Fairway Wood 3W,Retail,1,2461.82,369.27,Abdullah Al-Qahtani
